reading images completed in: 0.0336442 seconds.
img 110: ImperialValley1979_02.jpg score: 2.51977 / 6
img 111: ImperialValley1979_03.jpg score: 3.11656 / 7
img 112: Izmit1999_01.jpg score: 2.48623 / 5
img 113: Izmit1999_02.jpg score: 0.68932 / 1
img 114: Izmit1999_03.jpg score: 4.12474 / 8
img 115: Izmit1999_04.jpg score: 4.00094 / 10
img 116: Izmit1999_05.jpg score: 0.556612 / 1
img 117: Izmit1999_06.jpg score: 1.97029 / 6
img 118: Izmit1999_07.jpg score: 2.73575 / 7
img 119: Izmit1999_08.jpg score: 2.63492 / 7
img 120: Izmit1999_09.jpg score: 3.61885 / 6
img 121: Izmit1999_10.jpg score: 5.25953 / 11
img 122: Izmit1999_11.jpg score: 1.86559 / 5
img 123: Izmit1999_12.jpg score: 9.33022 / 18
img 124: Izmit1999_13.jpg score: 4.48614 / 9
img 125: Izmit1999_14.jpg score: 4.63146 / 9
img 126: Izmit1999_15.jpg score: 0.355394 / 1
img 127: Izmit1999_16.jpg score: 1.29622 / 4
img 128: Izmit1999_17.jpg score: 0.0325581 / 1
img 129: Izmit1999_18.jpg score: 0.398301 / 2
img 130: Izmit1999_19.jpg score: 1.30116 / 4
img 131: Kobe1995_01.jpg score: 0.0417226 / 1
img 132: Kobe1995_02.jpg score: 0.768925 / 1
img 133: Kobe1995_03.jpg score: 0.594748 / 1
img 134: Kobe1995_04.jpg score: 0.629996 / 1
img 135: Kobe1995_05.jpg score: 2.59325 / 5
img 136: Kobe1995_06.jpg score: 0.700848 / 2
img 137: Kobe1995_07.jpg score: 17.8817 / 26
img 138: Kobe1995_08.jpg score: 0.36147 / 1
img 139: Kobe1995_09.jpg score: 1.24615 / 4
img 140: SanSalvador_1986_01.jpg score: 0.128692 / 2
img 141: SanSalvador_1986_02.jpg score: 6.36754 / 9
img 142: SikkimIndia2001_01.jpg score: 0.0121212 / 1
img 143: SikkimIndia2001_02.jpg score: 4.49038 / 8
img 144: SikkimIndia2001_03.jpg score: 0.897538 / 3
img 145: SikkimIndia2001_04.jpg score: 0.929579 / 3
img 146: SumatraInd2009_01.jpg score: 0.787271 / 1
img 147: SumatraInd2009_02.jpg score: 0 / 1
img 148: WhittierNarrows1987_01.jpg score: 0.491939 / 1
img 149: WhittierNarrows1987_02.jpg score: 0.0190948 / 1
img 150: WhittierNarrows1987_03.jpg score: 0.225088 / 1
img 151: WhittierNarrows1987_04.jpg score: 0.874653 / 3
img 152: YogyakartaInd2006_01.jpg score: 0.91589 / 3
img 153: YogyakartaInd2006_02.jpg score: 1.45907 / 3
img 154: Anchorage1964_01.jpg score: 0.813502 / 2
img 155: Anchorage1964_02.jpg score: 11.3595 / 19
img 156: Anchorage1964_03.jpg score: 2.03001 / 3
img 157: Anchorage1964_04.jpg score: 30.7639 / 39
img 158: Anchorage1964_05.jpg score: 17.7151 / 29
img 159: Anchorage1964_06.jpg score: 1.40305 / 3
img 160: Anchorage1964_07.jpg score: 4.28294 / 9
img 161: Anchorage1964_08.jpg score: 3.03683 / 6
img 162: Anchorage1964_09.jpg score: 7.98761 / 19
img 163: Anchorage1964_10.jpg score: 1.57833 / 4
img 164: Anchorage1964_11.jpg score: 4.11791 / 8
img 165: Anchorage1964_12.jpg score: 2.79445 / 5
img 166: Anchorage1964_13.jpg score: 1.77176 / 3
img 167: Anchorage1964_14.jpg score: 6.81946 / 12
img 168: Anchorage1964_15.jpg score: 5.21551 / 9
img 169: Anchorage1964_16.jpg score: 1.78492 / 6
img 170: Anchorage1964_17.jpg score: 0.310715 / 3
img 171: Anchorage1964_18.jpg score: 5.93977 / 10
img 172: Anchorage1964_19.jpg score: 11.7132 / 18
img 173: Anchorage1964_20.jpg score: 2.08083 / 5
img 174: Anchorage1964_21.jpg score: 1.72926 / 4
img 175: Bingol2003_01.jpg score: 10.771 / 19
img 176: Bingol2003_02.jpg score: 2.70391 / 8
img 177: Bingol2003_03.jpg score: 1.79342 / 7
img 178: Bingol2003_04.jpg score: 4.19432 / 8
img 179: CanterburyNZSeries2010_01.jpg score: 0.0242215 / 1
img 180: CanterburyNZSeries2010_02.jpg score: 1.36166 / 2
img 181: CanterburyNZSeries2010_03.jpg score: 0.0787936 / 1
img 182: CanterburyNZSeries2010_04.jpg score: 4.58323 / 8
img 183: CanterburyNZSeries2010_05.jpg score: 0.469279 / 2
img 184: CanterburyNZSeries2010_06.jpg score: 0.519989 / 2
img 185: CanterburyNZSeries2010_08.jpg score: 2.55713 / 4
img 186: CanterburyNZSeries2010_09.jpg score: 0.533918 / 2
img 187: CanterburyNZSeries2010_10.jpg score: 1.06179 / 4
img 188: CanterburyNZSeries2010_11.jpg score: 0 / 2
img 189: CanterburyNZSeries2010_12.jpg score: 1.13075 / 4
img 190: CanterburyNZSeries2010_13.jpg score: 0.973796 / 2
img 191: Caracas1967_01.jpg score: 2.1933 / 4
img 192: Caracas1967_02.jpg score: 2.34168 / 4
img 193: Caracas1967_03.jpg score: 3.18422 / 6
img 194: Caracas1967_04.jpg score: 1.34016 / 3
img 195: Caracas1967_05.jpg score: 4.231 / 10
img 196: Caracas1967_06.jpg score: 0.965529 / 2
img 197: Caracas1967_07.jpg score: 3.24459 / 7
img 198: Caracas1967_08.jpg score: 1.97396 / 3
img 199: Caracas1967_09.jpg score: 1.75572 / 4
img 200: Caracas1967_10.jpg score: 1.88052 / 4
img 201: Caracas1967_11.jpg score: 1.51572 / 3
img 202: Caracas1967_12.jpg score: 2.8171 / 4
img 203: Caracas1967_13.jpg score: 0 / 1
img 204: Caracas1967_14.jpg score: 0.905687 / 2
img 205: Chichi1999_01.jpg score: 0.939367 / 2
img 206: Chichi1999_02.jpg score: 0.83386 / 2
img 207: Chichi1999_03.jpg score: 0.0126904 / 2
img 208: Chichi1999_04.jpg score: 2.23708 / 3
img 209: Chichi1999_05.jpg score: 2.32281 / 4
img 210: Chichi1999_06.jpg score: 4.03075 / 6
img 211: Chichi1999_07.jpg score: 3.88059 / 7
img 212: Chichi1999_08.jpg score: 0.728724 / 1
img 213: Chichi1999_09.jpg score: 0.979707 / 4
